"","x"
"“agreement”",1.91829583405449
"“allocation",0
"“amendment”",0
"“annual",0
"“antitrust",0
"“applicable",0
"“application”",0
"“asset",0
"“assets”",0
"“assigned",0.91829583405449
"“assignee”",1
"“assignment",0
"“assignor”",1
"“athyrium”",0
"“attributable",0
"“audited",0
"“authorized",0
"“authorizing",0
"“baml",0
"“baml”",0
"“bank",0
"“bank”",1
"“bankruptcy",0
"“bankruptcy”",0
"“base",0
"“baseline",0
"“basket”",0
"“beneficial",0
"“benefit",0
"“board",1
"“board”",0
"“bofa”",0
"“bonus",0
"“borrower",0.91829583405449
"“borrower”",0.543564443199596
"“borrowers”",0
"“borrowing”",0
"“brokers”",0
"“business",0.863120568566631
"“business”",1
"“capital",0
"“capitalized",0
"“cash",1.58496250072116
"“cash”",0
"“cashless",0
"“casualty",0
"“cdbg”",0
"“certified”",0
"“change",0
"“cietac”",0
"“claim”",0
"“claims”",0
"“closing",0.881290899230693
"“closing”",0
"“cmf",0
"“code”",1
"“collateral",0
"“collateral”",1
"“commencement",0
"“commitment”",0
"“common",1
"“company",0.863120568566631
"“company”",1.90563906222957
"“compensatory",0
"“compiled",0
"“compliance",0
"“conditions”",0
"“confidential",1
"“confidentiality",0
"“connection",0
"“consent”",0
"“consolidated",0
"“consolidated”",0
"“contract”",0
"“contractual",0
"“contribution",0
"“control",0
"“control”",1.37095059445467
"“controlled",0.91829583405449
"“controlled”",0.91829583405449
"“controlling”",1
"“convertible",0
"“cpa",0
"“credit",0.721928094887362
"“current",0
"“debtor",0
"“default”",0
"“delivery",0
"“deposit",0
"“deposits”",0
"“designated",0
"“dilutive",0
"“disclosure",0
"“dispose”",0
"“disposition”",0
"“dispute”",0
"“disqualified",0
"“distributions”",0
"“dollar”",0
"“dollars”",1
"“domain",0
"“domestic",0
"“due",0
"“dutch",0
"“dwac”",0
"“earn",0
"“effective",0.91829583405449
"“eligible",0
"“employee",0.91829583405449
"“employee”",0
"“employees”",0
"“employer”",0
"“encumbrance”",1
"“entity”",0
"“entrepreneur",0
"“environment”",0
"“environmental",1
"“equity",0.91829583405449
"“erisa",0
"“erisa”",1
"“escrow",0.970950594454669
"“estimated",0
"“eurocurrency",0
"“events",0
"“ex",0
"“exchange",0
"“excluded",0
"“excluding”",0
"“executive”",0
"“exercise",0
"“extension",0
"“extraordinary",0
"“facility”",1
"“fair",0
"“fatca”",0
"“federal",0
"“final",0
"“financial",0.991076059838222
"“first",0
"“foreign",0.650022421648354
"“fundamental",0.91829583405449
"“gaap”",1.58496250072116
"“gaming",0
"“gaming”",0
"“gift",0
"“goods",0
"“governmental",0.91829583405449
"“group",0
"“group”",0
"“guarantee",0
"“guarantee”",0
"“guarantors”",1
"“guaranty”",0
"“guidelines”",0
"“hazardous",1.25162916738782
"“hedge",0
"“herein”",0
"“hereof”",0
"“hereunder”",0
"“holder”",0
"“holding",0
"“hosting",0
"“hsr",0
"“impacted",0
"“include",0
"“include”",0
"“includes”",1
"“including”",1.58496250072116
"“indebtedness”",0
"“indemnification",0
"“indemnified",1.45914791702724
"“indemnifying",0
"“indemnity",0
"“initial",0
"“insolvent”",0
"“intellectual",0.811278124459133
"“intentional",0
"“intercompany",0
"“interest",0
"“interest”",0
"“interim",0
"“inventory”",0
"“investment",0.91829583405449
"“investment”",0
"“investor",0
"“ip",0.91829583405449
"“irs”",0
"“issue",0
"“judgment",0
"“know",0
"“knowledge”",0
"“landlord”",0
"“law”",0
"“lead”",0
"“lease",0
"“lease”",0
"“leased",0
"“legal",0
"“lender”",0
"“lenders”",0
"“lending",0
"“liabilities”",0.811278124459133
"“liability”",0
"“libor",0
"“licensed",0
"“lien”",1
"“listed",0
"“loan",0
"“loan”",0
"“loss”",0
"“lot",0
"“lumicyte”",0
"“lwy”",0
"“majority",0
"“make",0
"“manchester",0
"“manchester”",0
"“margin",0
"“mas”",0
"“mass",0
"“material",0.91829583405449
"“material”",0
"“materiality”",1
"“maturity",0
"“measurement",0
"“membership",0
"“migration”",0
"“minimum",0
"“mortgage”",0
"“multiemployer",0
"“multiple",0
"“net",1
"“new",1
"“non",0
"“note”",0.91829583405449
"“notes”",0
"“notice",0.811278124459133
"“objection”",0
"“obligation”",0
"“obligor”",0
"“ocd”",0
"“offer",0.91829583405449
"“offered",0
"“officer’s",0
"“operator”",0
"“option",0
"“order”",0
"“organizational",1
"“original",1
"“outside",0
"“outstanding",0
"“owner”",0
"“parcel",0
"“parent”",0
"“participant",0
"“parties”",1
"“party”",0
"“pbgc”",0
"“pci",0
"“per",0
"“perfection",0
"“permit”",0
"“permitted",1.37095059445467
"“person",0
"“person”",1.14883485428092
"“plan”",0
"“plant",0
"“platform”",0
"“pledged",0
"“pledgor”",0
"“post",0
"“prc”",0
"“pre",0
"“preferential",0
"“preferred",0
"“prepayment",0
"“primary",0
"“prime",0
"“proceeding”",0
"“property”",1
"“proposed",1
"“prospectus”",0
"“pto”",0
"“public",0
"“public”",0
"“purchase",0
"“purchased",0
"“purchaser",0
"“purchaser”",0
"“purchasing",0
"“purpose",0
"“qualified",0.91829583405449
"“rate",0
"“real",1
"“reference",0
"“register”",0
"“registered",0
"“registration",0
"“related",1.43537139077453
"“release”",0
"“reorganization",0
"“reorganization”",0
"“repayment",0
"“replacement",0.91829583405449
"“reportable",0
"“representatives”",0
"“requirement",0
"“resolution",0
"“resolved",0
"“restricted",0
"“review",0
"“rule",0
"“rules”",0
"“sanctions”",0
"“sec”",0
"“securities",1.5
"“security",1
"“seller",0.439496986921513
"“seller”",0
"“server",0
"“share",0
"“shared",0
"“significant",0
"“smxe",0
"“solvent”",0.91829583405449
"“spin",0
"“statement",0.91829583405449
"“statute”",0
"“statutory",0
"“straddle",0
"“subject",0
"“subordinated",0
"“subsidiary",0
"“subsidiary”",1.5
"“suite",0
"“supplement”",0
"“surety",0
"“survival",0
"“synthetic",0
"“target",0
"“tax",1
"“tax”",0
"“taxes”",0.91829583405449
"“tenant",0
"“tenant’s",0
"“tenant”",0
"“termination",0
"“thiola",0
"“third",0.91829583405449
"“time",0
"“toxic",0
"“trade",0
"“trading",0
"“transaction",0
"“transactions”",0
"“transfer",0
"“transition",0
"“treasury",0
"“trigger",0
"“ucc”",0
"“unfunded",0
"“union”",0
"“unit",0
"“united",0
"“unresolved",0
"“valuation",0
"“visa",0
"“voting",0
"“vwap”",0
"“warrant",0
"“warrant”",0
"“warrantholders”",0
"“warrants”",0
"“wholly",0
"“withdrawal",0
"“without",1
"“working",0
"“worth",0
"<U+200E><U+200E>section",0
"<U+200E>article",0
"<U+200E>section",0
"<U+200E>sections",0
"<U+FEFF>  ",1
"<U+FEFF>accession",0
"<U+FEFF>accounts",1
"<U+FEFF>affymax",0
"<U+FEFF>agreement",0
"<U+FEFF>alibaba",0
"<U+FEFF>amended",1
"<U+FEFF>assignment",1.58496250072116
"<U+FEFF>bond",0
"<U+FEFF>bonus",0
"<U+FEFF>branch",0
"<U+FEFF>community",0
"<U+FEFF>consulting",0
"<U+FEFF>corporate",0
"<U+FEFF>credit",0
"<U+FEFF>digital",0
"<U+FEFF>domain",0
"<U+FEFF>exclusive",0
"<U+FEFF>executive",0
"<U+FEFF>facility",0
"<U+FEFF>first",0
"<U+FEFF>industrial",0
"<U+FEFF>investment",1.58496250072116
"<U+FEFF>itpeu",0
"<U+FEFF>labor",0
"<U+FEFF>landlord",0
"<U+FEFF>lease",1
"<U+FEFF>license",0
"<U+FEFF>loan",1
"<U+FEFF>march",0
"<U+FEFF>master",0
"<U+FEFF>membership",0
"<U+FEFF>office",1.58496250072116
"<U+FEFF>partners",0
"<U+FEFF>patent",0
"<U+FEFF>peninsula",0
"<U+FEFF>purchase",1
"<U+FEFF>realnetworks",0
"<U+FEFF>revolving",0
"<U+FEFF>search",0
"<U+FEFF>seattle",0
"<U+FEFF>second",0
"<U+FEFF>select",0
"<U+FEFF>servicing",0
"<U+FEFF>share",1
"<U+FEFF>shareholders",0
"<U+FEFF>southern",0
"<U+FEFF>standard",0
"<U+FEFF>starcloud",0
"<U+FEFF>stockholders",0
"<U+FEFF>tableau",0
"<U+FEFF>technology",1
"<U+FEFF>territorial",0
"<U+FEFF>third",0
"<U+FEFF>tier",0
"<U+FEFF>trademark",0
"<U+FEFF>transition",1
"<U+FEFF>xinhua",0
"<U+FFFD>fair",0
"<U+FFFD>within",0
"……………",0
"…………………",0
"aaa",2.62581458369391
"aba",1
"abandon",1.5
"abandoned",3.64022392894185
"abandoning",0
"abandonment",3.38177824488283
"abandonments",0
"abandons",2.12808527889139
"abate",2.72548055699787
"abated",2.75341119262112
"abatement",2.68176416183722
"abatements",0
"abbreviated",0
"abbreviation",0
"abbreviations",0
"abc",0.187176256873208
"abi",0
"abide",3.28103611255342
"abiding",0
"ability",4.38401344713685
"able",4.0882208354968
"abolished",0
"aboutjanuary",0
"aboveground",0
"abp",0
"abr",0
"abraxis",0
"abridge",0.811278124459133
"abridgment",0
"abroad",0
"absence",4.13356886088159
"absences",0
"absent",3.22575780276905
"absenteeism",0
"absolute",4.00295615945724
"absolutely",1.58496250072116
"absorb",1
"abstracts",1
"abuse",0.678407090937567
"abuts",0
"accede",1.37878349348618
"acceded",0
"accedes",0
"acceding",0
"accel",0.997180398894264
"accelerate",2.55034070954639
"accelerated",1.91829583405449
"acceleration",3.3900784868563
"accept",4.55803042780986
"acceptable",4.827183710811
"acceptance",4.16750110514745
"acceptance”",0
"acceptances",1.89624062518029
"accepted",4.83286780659761
"accepting",2.48499609873065
"accepts",4.29277019393699
"access",4.66543356385156
"accessed",1.58496250072116
"accessible",2
"accessing",0.91829583405449
"accession",1.38075042076167
"accessions",1.91829583405449
"accessories",1.58496250072116
"accessways",0
"accident",3.56704021692658
"accidental",1.5
"accidents",0.811278124459133
"accommodate",2.32192809488736
"accommodation",2.40563906222957
"accommodations",1
"accompanied",3.57430591947202
"accompanies",0
"accompany",2.25162916738782
"accompanying",3.12484354850915
"accomplish",2.32192809488736
"accomplished",1.66449777920046
"accomplishment",0
"accomplishments",0
"accord",1.06964114073231
"accordance",5.19785003311757
"accorded",2
"according",4.18198451117871
"accordingly",4.54528919578789
"accordion",0
"accords",1
"account",4.21090144058405
"account”",0
"accountable",1
"accountant",3.48644050169614
"accountants",3.98381933688035
"accounted",2.66122625626979
"accounting",4.68404664686306
"accounts",3.60611839503912
"accreditation",1
"accredited",1.58496250072116
"accreted",1
"accretion",0
"accrual",1.8716022614098
"accruals",1.37095059445467
"accrue",4.07442648113941
"accrued",3.90886565980075
"accrues",2.32192809488736
"accruing",3.9621031651558
"accumulate",2
"accumulated",2.15563906222957
"accumulation",0
"accuracy",3.29947057079725
"accurate",4.24096507140898
"accurately",3.0588138903312
"acf",0
"achieve",3.45482239994661
"achieved",2.52164063634332
"achievement",0
"achieves",1
"achieving",1.5
"acids",1.58496250072116
"acknowledge",4.55738679026712
"acknowledged",4.44162147959362
"acknowledgement",2.68872187554087
"acknowledges",4.98709900147558
"acknowledging",2.25162916738782
"acknowledgment",2.87314067951313
"acm",0.91829583405449
"acoustical",0
"acquiesce",1
"acquiescence",3
"acquiesces",0
"acquire",4.32854101818679
"acquired",3.94580016052414
"acquiree",0
"acquirer",0.811278124459133
"acquires",3.67326968951511
"acquiring",3.4225779953216
"acquisition",4.07757745096444
"acquisition”",0
"acquisitionco",0
"acquisitions",2.60851094293986
"acquittance",0
"acre",0.721928094887362
"acres",0
"acsm",0
"act",5.1163897989093
"act”",0.91829583405449
"acted",2.72192809488736
"actel",0
"acting",3.46209010462194
"action",5.18509281014957
"actions",5.01816253027334
"active",2.65677100038687
"actively",3.52164063634332
"activities",4.86797961592276
"activities”",0
"activity",3.90681458991952
"activity”",0
"acts",4.95575368255335
"actual",4.80702308845959
"actually",4.46382169627087
"actuarial",1.5
"ada",1.35164411515339
"adam",0
"adapt",0
"adaptations",0
"add",3.82525173728865
"added",3.6907021853279
"addenda",1.37095059445467
"addendum",1.38227711041556
"adding",2.8073549220576
"addition",5.14216198201586
"additional",4.69138180979348
"additionally",3.03914867190307
"additions",3.6296571810138
"additives",0
"address",4.97016591104852
"addressed",4.39410292866428
"addressee",1.58496250072116
"addressees",0
"addresses",4.43933797821077
"addressing",1.91829583405449
"adelberg",0
"adeno",0
"adenoviral",0
"adequacy",3.3777968115986
"adequate",4.84713561497617
"adequately",2.80739045087672
"adhere",0.811278124459133
"adherence",0
"adheres",0
"adhering",0
"adhesives",1
"adjacent",2.92119213163284
"adjoining",1.58496250072116
"adjourn",1
"adjourned",0.91829583405449
"adjudged",2
"adjudicate",0.91829583405449
"adjudicated",1.92192809488736
"adjudication",2.5
"adjudications",0
"adjudicatively",0
"adjudicatory",0
"adjust",3.93957226198672
"adjustable",1.45914791702724
"adjusted",4.07479286842113
"adjusting",2.58496250072116
"adjustment",3.88517521215495
"adjustment”",0
"adjustments",4.06091365963971
"adjustor",0
"administer",3.28418371977919
"administered",3.33496250072116
"administering",3.18083298720544
"administers",0.91829583405449
"administration",4.42380840478266
"administrative",2.44952295122828
"administratively",1.29546184423832
"administrator",3.09223593430094
"administrators",3.85216872360328
"admissibility",0
"admissible",1.58496250072116
"admission",3.57246945877014
"admissions",0
"admit",3.32192809488736
"admits",0.91829583405449
"admittance",0
"admitted",0
"admitting",0
"adopt",3.25162916738782
"adopted",4.5955428615254
"adopting",0
"adoption",3.09579525500093
"adoptive",0
"adrian",0
"ads",0.721928094887362
"adss",0
"advance",4.473613050111
"advanced",2.73215889136457
"advanceme",0
"advancement",1
"advances",3.00677100038687
"advancing",0.337290066617014
"advantage",2.94770277922009
"advantageous",0
"adverse",4.33220086057782
"adversely",4.75658632234943
"advertise",2.32192809488736
"advertised",0
"advertisement",2.04643934467102
"advertisements",2.92192809488736
"advertisers",0
"advertising",3.70335372906486
"advice",3.38418371977919
"advices",0
"advisability",0
"advisable",3.28015396062208
"advise",4.41566147019176
"advised",4.12095059445467
"advisers",1.66449777920046
"advises",2
"advising",1.58496250072116
"advisor",2.45914791702724
"advisors",3.64696666827365
"advisory",1.57095059445467
"advocate",0
"advocated",0
"aei",0
"aerial",0
"aesthetic",1
"aesthetics",0
"affairs",3.71318940475607
"affect",5.24202140547089
"affected",4.67666138965662
"affecting",4.65790888710755
"affects",4.13883012703221
"affidavit",1.92192809488736
"affidavits",1
"affiliate",4.48127854750017
"affiliate”",0
"affiliated",3.48418371977919
"affiliates",4.42747965536311
"affiliates’",0.91829583405449
"affiliation",1
"affinion",0
"affirm",0.91829583405449
"affirmations",0
"affirmative",3.18989809546429
"affirmatively",0.91829583405449
"affirmed",0.91829583405449
"affirms",0
"affix",1.58496250072116
"affixed",2.96497606796747
"afford",2.64643934467102
"afforded",3.41041725276052
"affording",1
"affords",1
"affymax",0
"affymetrix",0
"afl",0
"aforementioned",3.46132014021101
"aforesaid",3.03723014665082
"africa",0
"aft",0
"age",2.25354671323282
"aged",1.58496250072116
"agencies",3.36911495223287
"agency",4.6198904529026
"agent",2.64980330300001
"agent’s",0.485460760745913
"agent”",0.986426728730842
"agentof",0
"agents",4.33975575472509
"ages",0
"aggregate",4.15521126859788
"aggregated",3.24643934467102
"aggregating",1.58496250072116
"aggregation",1.5
"aggressively",0
"aggrieved",0
"aging",1.37095059445467
"agonists",0
"agree",5.594870738178
"agreeable",2
"agreed",5.0345229729015
"agreeing",3.5
"agreement",5.48998646876817
"agreement”",1.91026994145553
"agreements",4.9488689812983
"agreements”",0
"agrees",5.4707127876985
"agricultural",2
"agriculture",0
"ahead",0
"ahereto",0
"ahrens",0
"aid",1.58496250072116
"aids",1
"aig",0.952265625436664
"ail",0
"air",3.17381393715302
"aircraft",0
"airline",0
"airlines",0
"airport",0
"airtight",1
"airways",0
"aisle",0
"akamai",0
"akin",0
"alabama",0
"alameda",0
"alan",1.89106111207265
"alarm",0
"albert",0.91829583405449
"alberta",0
"albuquerque",0
"alcohol",0.807670205726944
"alejandro",0
"alert",0
"algonquin",1
"algorithms",2.25162916738782
"ali",0
"alia",1.5
"alibaba",0.714015280437867
"alien",0
"alienate",0
"alienated",1.58496250072116
"alienation",0
"allaire",0
"allan",0
"allegation",1
"allegations",2
"allege",0
"alleged",4.22429679618527
"allegedly",0
"alleges",0
"alleging",2.66353275480425
"allen",0.970950594454669
"alleviated",0
"alleys",0
"alliance",0
"alliancebernstein",0
"allied",0.970950594454669
"allocable",3.26818194698418
"allocate",2.25162916738782
"allocated",4.1957816995008
"allocation",2.94455809813539
"allocation”",0
"allocations",1.75
"allot",0
"allotment",0.816689088315021
"allotments",0
"allotted",1.95006375643621
"allow",4.33143929808504
"allowable",2.10218717094933
"allowance",2.97336408932648
"allowances",2.43059461802354
"allowed",4.16114816338186
"allowing",3.13957226198672
"allows",1.58496250072116
"almaden",0
"alone",3.68970373219955
"along",3.23452992143947
"alphanumeric",0
"alps",0
"already",4.28389846341258
"also",5.16763029288524
"alta",1.58496250072116
"alter",3.82507052036418
"alteration",3.22394241951426
"alterations",3.06666732633041
"altered",2.81507241011594
"altering",1
"alternate",2.07188618691207
"alternately",1
"alternative",3.96405933035501
"alternatively",2.25162916738782
"alternatives",0
"alters",0
"although",3.12192809488736
"alto",2.19278466218979
"altos",0
"aluminum",0
"alvensleben",0
"always",1
"amalgamated",0
"amalgamation",0.985228136034252
"amalgamations",0
"amazon",0
"ambient",1
"ambiguities",1.58496250072116
"ambiguity",1
"ambiguous",0
"ambit",0
"ameliorate",0
"amend",4.77173964818431
"amended",4.9406606779943
"amending",1.25162916738782
"amendment",4.46363224932069
"amendment”",0
"amendments",3.8482537990099
"amends",2.58496250072116
"amenities",1
"america",4.38354748697776
"american",2.99598033991164
"americans",2.5
"americas",2
"amicable",1
"amicably",0.91829583405449
"ammonia",0
"amnesty",0
"among",4.65021707827368
"amongst",0.91829583405449
"amortisation",0
"amortization",3.05602096805788
"amortized",2.81520239998049
"amortizing",0
"amount",4.76769241113519
"amount”",1
"amounts",4.61179244694254
"amp",0
"amperes",0
"amphetamine",0
"amphetamines",0
"amplification",0
"amsted",0
"amur",0
"amy",0
"analog",0
"analogous",2.74484253175324
"analyses",2.03494091395623
"analysis",0.956094660102884
"analyst",1
"analysts",0
"analytical",0
"analyze",0
"analyzed",0
"analyzing",0
"ancestors",0
"anchors",0
"ancillary",1.85564325629469
"and",1.37878349348618
"andreas",0
"andrew",0.811278124459133
"ands",0
"andy",0
"anew",1
"angel",0
"angela",0
"angeles",1.50027234560841
"angelo",0
"angles",1
"animals",2.5
"ann",0
"annes",0
"annex",1.59394613853486
"annexed",2.52164063634332
"annexes",0.91829583405449
"anniversaries",0
"anniversary",3.19075897477056
"annoor",0
"annotations",0
"announce",0
"announced",2.52473261568954
"announcement",3.45482239994661
"announcements",2.23127025460758
"annoy",1.5
"annoyance",1.95021206491475
"annual",4.77202638951439
"annualized",0.721928094887362
"annually",3.64022392894185
"annuities",0
"annuitized",0
"annuity",0.978773644256212
"annulled",0
"annum",3.52474655913333
"anonymized",0
"another",4.76628607194959
"ansi",0
"answer",2.52164063634332
"answered",0
"answers",0.543564443199596
"antagonists",0
"antecedent",0
"antenna",0
"antennae",0
"antennas",0
"anthony",0
"anti",2.87894446942829
"antibodies",0
"antibody",0
"anticipate",1
"anticipated",3.45328914263922
"anticipates",0.811278124459133
"anticipation",1.25162916738782
"antitrust",0.353359335021421
"antivirus",0
"anton",0.91829583405449
"antonuccio",0
"anylytical",0
"anyone",3.71929452566698
"anything",4.50347302212678
"anytime",0
"anyway",0
"anywhere",2.41379956460568
"aol",0
"apa",0
"apart",1.58496250072116
"apartments",0
"aplma",0
"apollo",0
"app",0
"apparatus",2.49969814318441
"apparatuses",0
"apparent",2.58496250072116
"appeal",3.94071801570871
"appealable",2.43319583872898
"appealed",0
"appeals",1.3699740752745
"appear",3.27414333809753
"appearance",2.74806385073206
"appearances",0
"appearing",2.5217822215998
"appears",2.44040401772093
"appellate",2.25162916738782
"append",0
"appended",1
"appendices",1
"appendix",1.6174570297402
"apple",0.192531054818194
"appliances",2.41938194564637
"applicability",3.23890125660263
"applicable",5.00881239225384
"applicant",0.459023501736165
"applicant’s",0
"applicants",0.91829583405449
"application",4.30068992480315
"applications",3.82586151950991
"applied",4.31676865251041
"applies",3.81686451602542
"appln",0
"apply",5.06934649556752
"applying",2.65774272650489
"appoint",4.22554863355253
"appointed",4.51585422107898
"appointer",0
"appointing",2.94770277922009
"appointment",4.59683054423776
"appointments",1
"appoints",3.5220552088742
"apportion",0
"apportionable",0
"apportioned",1.79248125036058
"apportioning",0
"apportionment",1.58496250072116
"appraisal",2.73787239223151
"appraisals",1.52192809488736
"appraise",0
"appraised",1.29546184423832
"appraiser",1.90392862272431
"appraisers",1.81127812445913
"appraising",0
"appreciated",0
"appreciation",2
"apprised",0
"approach",1.5
"approached",1
"appropriate",5.15276525597545
"appropriated",1
"appropriately",3.97017552146434
"appropriation",0.91829583405449
"appropriations",0
"approval",5.02491136380912
"approvals",4.7043015225079
"approve",3.86722160155532
"approved",4.59384585590302
"approves",2.92192809488736
"approving",3.18760131151206
"approximate",2.49560292372901
"approximately",3.46110371864351
"approximation",0
"appurtenances",2.22753433400598
"appurtenant",2.75
"apr",0
"april",3.55043995601973
"aprons",0
"apt",0.91829583405449
"aquariums",0
"aquilino",0
"arbeitnehmererfindergesetz",0
"arbitrable",1
"arbitral",2.97493750120193
"arbitrament",0
"arbitrary",0.91829583405449
"arbitrate",1.52192809488736
"arbitrated",0.91829583405449
"arbitration",4.60800570370292
"arbitration”",0
"arbitrations",1
"arbitrator",3.90948107180069
"arbitrators",3.00221339163063
"architect",2.47650179045822
"architects",2.00488616409184
"architectural",2.83968995809177
"architecture",1
"archival",1.92192809488736
"archive",0
"archives",0
"archivist",0
"area",3.56778427546339
"area’",0
"areas",3.07354697732924
"argue",0
"arguello",0
"argument",1.58496250072116
"arguments",0
"ari",0
"arise",4.49286303507434
"arisen",2
"arises",4.53784479304888
"arising",5.05052922341131
"arithmetic",0
"arizona",2.64280146831487
"arkwright",0
"arm",2.70160949705903
"arm’s",0
"arm<U+FFFD>s",0
"armaments",0
"armed",1
"armijo",0
"arms",1
"arose",1
"around",2.40563906222957
"arps",0
"arrange",3.01366068968819
"arranged",2.64643934467102
"arrangement",4.16066682625133
"arrangement”",0
"arrangements",4.34498986454925
"arranger",0.970950594454669
"arrangers",0.985228136034252
"arranges",0
"arranging",1.25162916738782
"array",0
"arrearages",1
"arrears",2.29989639116789
"arrival",0
"arrive",1
"arrived",0
"arrows",0
"art",2.25162916738782
"arthur",2.1209520310264
"article",4.40298394134415
"articles",3.67138870152465
"articulate",0
"artists",0
"artwork",1.6737949406954
"asa",0
"asbestos",3.12192809488736
"ascap",0
"ascertain",1.37095059445467
"ascertaining",2.12808527889139
"ascribed",1.214447626936
"asexhibit",0
"asf",0
"ash",0
"ashes",0
"ashland",0
"asia",1.42991117097587
"aside",3.32192809488736
"ask",2.42257976184249
"asked",0
"asking",0
"asks",0
"aspect",1.55893853235028
"aspects",3.02716911844062
"asphalt",0
"assay",0.650022421648354
"assays",0
"assemble",1
"assembled",0
"assembly",1.5
"assert",3.3118441013102
"asserted",3.46423363359331
"asserting",2.23592635062903
"assertion",2.68872187554087
"asserts",2.23592635062903
"assess",0
"assessable",1.92192809488736
"assessed",3.30386690868234
"assessment",3.69810978292674
"assessments",4.23522813603425
"assessor’s",0
"asset",3.29996607499466
"assets",4.17638591436879
"assets”",0
"assign",5.13736543992705
"assignability",1
"assignable",3.45281953111478
"assigned",4.35861979535691
"assignee",3.65138217825373
"assignee’s",0
"assignee”",0
"assignees",3.5
"assigning",2.58026555357549
"assignment",4.60113700974717
"assignments",3.91183065995785
"assignor",1.64672382529342
"assignor’s",0.591672778582327
"assigns",5.29157920144601
"assist",4.05602096805788
"assistance",2.96149121466728
"assistance”",0
"assistant",2.95006375643621
"assistants",0
"assisting",1.58496250072116
"associate",2.55034070954639
"associated",4.7403695549409
"associates",2.96343007829436
"association",4.42275597774855
"associations",2.25
"assume",4.70280576224136
"assumed",2.07976718070754
"assumes",3.44488945173324
"assuming",3.45416328885666
"assumption",2.95045976944752
"assumptions",1.89427386977126
"assurance",2.92323142879762
"assurances",3.91805078489482
"assure",2.73333305268107
"assuring",1.5
"asterisk",0
"astm",0
"atfletc",0
"atg",0
"atherton",0
"athyrium",0
"athyrium’s",0
"atlanta",1.5
"atlantic",1
"atmosphere",0
"atnv",0
"atrium",0
"att",0
"attach",2.66131527740124
"attached",5.01091389202952
"attachedschedule",0
"attaches",1.58496250072116
"attaching",2
"attachment",4.17949969246294
"attachments",3.23909791798879
"attack",1
"attacks",0
"attained",0
"attaining",1
"attainment",0.91829583405449
"attains",0
"attempt",4.45318881619703
"attempted",3.13957226198672
"attempting",2
"attempts",2
"attend",2.58496250072116
"attendance",1.66449777920046
"attendant",0
"attendants",1.58496250072116
"attended",1.92192809488736
"attending",0
"attention",4.37516656322001
"attenuated",0
"attestation",0
"attestations",0
"attesting",0
"attinger",0
"attn",3.33508546827439
"attorn",2.87314067951313
"attorney",4.70495104890518
"attorney’s",1.45914791702724
"attorneys",4.69951538543448
"attorneys’",1.45914791702724
"attorneys<U+FFFD>",1
"attornment",2.43874392040175
"attorns",0.91829583405449
"attract",0
"attractive",0
"attributable",4.15286630584083
