"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"acknowledgement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"acknowledges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1
"acquired",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,2,2
"acquisition",0,4,0,4,0,0,0,4,4,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"act",0,4,1,4,0,0,1,4,4,4,0,4,0,0,0,0,2,0,4,1,0,2,0,2,2,2,0,0,2,2
"action",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"actions",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"active",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"activities",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,2,2
"activity",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"acts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,4,0,0,4,4
"actual",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,1,0,2,1,0,1,0,1,1,1,0,0,1,1
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"addition",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,2,0,2,0,2,2,2,0,0,2,2
"additional",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
"address",0,2,0,2,0,0,0,2,2,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"addressing",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"adequate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"adjustment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"administering",0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"administration",0,3,0,3,0,0,0,3,3,3,0,3,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"advance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,2,1,0,0,2,1
"adversely",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"advice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"advocate",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"affected",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"affirmations",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"agencies",0,6,0,6,0,0,0,6,6,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"agency",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"agent",1,2,0,2,1,1,0,2,2,2,0,2,1,0,0,0,1,0,2,1,0,1,1,1,1,1,0,1,1,1
"agents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"aggregate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"aggregated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"agree",1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,6,1,1,1,1,1,1,1,1,1,1
"agreed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,3,0,3,3,3,0,0,3,3
"agreement",17,0,32,0,17,17,32,0,0,0,17,0,17,5,1,1,41,11,0,23,11,41,17,41,41,41,17,17,41,41
"agreements",1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0
"agrees",0,0,5,0,0,0,5,0,0,0,0,0,0,0,1,1,5,0,0,2,0,5,0,5,5,5,0,0,5,5
"agricultural",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"agriculture",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"albany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"alien",0,14,0,14,0,0,0,14,14,14,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"aliens",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"alleged",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"allocable",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"allows",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"already",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
"also",0,13,1,13,0,0,1,13,13,13,0,13,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"altered",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"alters",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"although",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"alumni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"amended",1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
"amendment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"amendments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"among",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"amount",0,1,2,1,0,0,2,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
"amp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"analysis",0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"andgoldman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"andwhereas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"another",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"anticipate",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"anticipated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"appear",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"applicable",0,2,2,2,0,0,2,2,2,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"application",0,3,0,3,0,0,0,3,3,3,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"applied",0,3,0,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"applies",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"apply",0,11,0,11,0,0,0,11,11,11,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"appropriate",0,11,1,11,0,0,1,11,11,11,0,11,0,0,0,0,1,0,11,1,0,1,0,1,1,1,0,0,1,1
"approval",2,0,3,0,2,2,3,0,0,0,2,0,2,0,3,1,2,0,0,0,0,2,2,2,2,2,2,2,2,2
"approved",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"approximately",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"april",0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"apt",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"archer",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"archives",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,2,2
"areconsidered",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arising",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1
"arrangement",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arrears",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"article",0,5,1,5,0,0,1,5,5,5,0,5,0,0,0,0,2,0,5,0,0,2,0,2,2,2,0,0,2,2
"articles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,2,2
"ask",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"asked",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"aspects",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"assess",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"assessed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"assign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,3,0,0,3,3
"assigned",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"assignment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,2,2
"assigns",1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"assist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"assistance",0,2,1,2,0,0,1,2,2,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"assistant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"associated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"association",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"assumes",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attach",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"attached",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"attachments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attempt",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"attitudes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attorney",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"attorneys",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"austin",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"author",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"authorize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"authorized",2,0,0,0,2,2,0,0,0,0,1,0,2,0,0,0,3,2,0,1,2,2,2,3,3,2,1,2,3,2
"automatically",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"availability",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,1,1,1,0,0,1,1
"avoid",0,3,0,3,0,0,0,3,3,3,0,3,0,0,0,0,1,0,3,0,0,1,0,1,1,1,0,0,1,1
"avoiding",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"aware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"away",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"background",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"backup",0,32,0,32,0,0,0,32,32,32,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
"bank",0,3,0,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"bankruptcy",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"barter",0,4,0,4,0,0,0,4,4,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"based",0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"basis",0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
"become",0,2,0,2,0,0,0,2,2,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"becomes",1,2,0,2,1,1,0,2,2,2,1,2,1,0,0,0,1,0,2,2,0,1,1,1,1,1,1,1,1,1
"beginning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"behalf",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,3,3,3,0,0,3,3
"beneficiaries",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"benefit",3,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"benefits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,1,1,1,0,0,1,1
"best",1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
"betweenexcelsior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"beyond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,2,2,0,0,2,2
"bills",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"binding",1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
"board",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"boat",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"bond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1
"bound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,2,2
"box",0,9,0,9,0,0,0,9,9,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"breach",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,4,0,5,0,5,5,5,0,0,5,5
"breaching",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"brief",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"briefing",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"broker",0,7,0,7,0,0,0,7,7,7,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"business",1,22,5,22,1,1,4,22,22,22,1,22,1,0,1,1,8,1,22,9,0,7,1,7,7,7,1,1,7,7
"businesses",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"calendar",0,1,4,1,0,0,4,1,1,1,0,1,0,0,0,0,6,0,1,0,0,6,0,6,6,6,0,0,6,6
"called",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"calling",0,3,0,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"can",0,4,0,4,0,0,0,4,4,4,0,4,0,0,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0
"cancellation",0,4,1,4,0,0,1,4,4,4,0,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"cancelled",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"capacity",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"card",0,4,0,4,0,0,0,4,4,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"care",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,2,0,2,0,0,2,0,2,2,2,0,0,2,2
"career",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"careful",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"carefully",1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"case",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"cases",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"cash",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"cause",0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,2,1,1,0,3,2,0,2,2,2,0,0,2,2
"caused",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"caution",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"cbe",0,0,2,0,0,0,2,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"central",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"certain",1,14,0,14,1,1,0,14,14,14,1,14,1,0,0,0,1,0,14,1,0,1,1,1,1,1,1,1,1,1
"certification",0,13,0,13,0,0,0,13,13,13,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"certifications",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"certifies",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"certify",0,5,0,5,0,0,0,5,5,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"certifying",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"change",0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"changed",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"changes",0,1,0,1,0,0,0,1,1,1,0,1,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"channels",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"charge",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"charitable",0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"chart",0,4,0,4,0,0,0,4,4,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"charter",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"check",0,6,0,6,0,0,0,6,6,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"china",0,2,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"chinese",0,3,0,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"choice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
"choosing",0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"circle",0,4,0,4,0,0,0,4,4,4,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"circled",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"cities",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
